"id","decision","company_name","status","score","industry","region","address","phone","website","has_email","has_form","selection_reason","demo_token","demo_url","email_to","form_url","copy_path","copy_status","copy_updated_at","sent_channel","sent_at","notes","last_updated"
"4","selected","㈲柴田建設","demo_ready","8","工務店","北海道 稚内市","北海道稚内市声問5丁目43-8","0162-26-2256","https://shibakenn1.com/","1","1","古いWordPressベースの見え方で、画像欠けや空の記事があり、第一印象と導線の弱さが営業提案につながる余地が大きい。","shibata-kensetsu","http://localhost:3000/?token=shibata-kensetsu","yuu.shibakenn1@gmail.com","https://shibakenn1.com/contact/","artifacts/sales-copy/4-shibata-kensetsu.md","ready","2026-04-12T15:52:29+09:00","","","contact_candidates=2;selected_for_demo=1","2026-04-11T08:03:07.555Z"
"38","selected","福井塗装","demo_ready","9","外壁塗装","北海道 旭川市","","","http://fukui-tosou.net/","1","1","????????????????????????????????","fukui-tosou","http://localhost:3000/?token=fukui-tosou","","","artifacts/sales-copy/38-fukui-tosou.md","ready","2026-04-12T15:40:01+09:00","","","contact_candidates=2;selected_for_demo=1;audit_pass_pc_mobile=1","2026-04-12T15:40:01+09:00"
"39","selected","のじり塗装","demo_ready","10","外壁塗装","北海道 旭川市","","","https://ameblo.jp/nojiritoso/","1","1","Ameblo ???????????????????????????????","nojiri-tosou","http://localhost:3000/?token=nojiri-tosou","","https://nojiritoso.wixsite.com/nojiritoso/contact","artifacts/sales-copy/39-nojiri-tosou.md","ready","2026-04-12T22:10:00+09:00","","","contact_candidates=3;selected_for_demo=1;audit_pass_pc_mobile=1","2026-04-12T22:10:00+09:00"
"42","selected","㈱温井塗装","demo_ready","8","外壁塗装","北海道 旭川市","","","https://www.nukuitoso.com/","1","1","Wix系の簡素構成で、テンプレ感と作り込み不足が見えやすい。","nukui-tosou","http://localhost:3000/?token=nukui-tosou","","","artifacts/sales-copy/42-nukui-tosou.md","ready","2026-04-12T15:52:29+09:00","","","contact_candidates=2;selected_for_demo=1;audit_pass_pc_mobile=1","2026-04-11T13:01:01.718172Z"
"44","selected","H.m paint","demo_ready","10","外壁塗装","北海道 旭川市","","","https://r.goope.jp/h-m-paint","1","1","Goope ??????????????????????????????","h-m-paint","http://localhost:3000/?token=h-m-paint","hm.paint710@gmail.com","https://r.goope.jp/h-m-paint/contact","artifacts/sales-copy/44-h-m-paint.md","ready","2026-04-12T15:52:29+09:00","","","contact_candidates=1; audit_pass_pc_mobile=1","2026-04-12T03:05:00+09:00"
"47","selected","稚内電気工事㈱","demo_ready","9","電気工事","北海道 稚内市","","","http://www.wakkanaidenkikouji.jp/","1","1","Top page still looks template-heavy and includes a visible nonsense text block, so redesign need is obvious.","wakkanai-denki","http://localhost:3000/?token=wakkanai-denki","","","artifacts/sales-copy/47-wakkanai-denki.md","ready","2026-04-12T15:52:29+09:00","","","contact_candidates=1;selected_for_demo=1;audit_pass_static=1;audit_blocked=chrome_devtools_profile_lock;access_link_label_fixed=1","2026-04-12T00:49:12Z"
"50","selected","㈱電建","selected","10","電気工事","北海道 稚内市","","","http://www.e-denken.co.jp/","0","0","Top page is extremely dated with blank spacing, image-only navigation, and a 2007 update stamp.","","","","","","","","","","contact_candidates=0","2026-04-12T00:49:12Z"
"51","selected","鈴木電気設備工業","demo_ready","9","電気工事","北海道 稚内市","","","http://sd-3247.com/","1","0","???????????????????????????????","suzuki-denki-setsubi","http://localhost:3000/?token=suzuki-denki-setsubi","","","artifacts/sales-copy/51-suzuki-denki-setsubi.md","ready","2026-04-12T15:44:35+09:00","","","contact_candidates=1;selected_for_demo=1;audit_pass_pc_mobile=1;phone_unconfirmed_top=1;address_unconfirmed_top=1","2026-04-12T15:44:35+09:00"
"64","rejected","札幌消防メンテナンス㈱","demo_ready","7","消防設備点検","北海道 札幌市","","","http://www.s-sm.net/company.html","0","1","Table-heavy and dated, but there is little visible breakage.","sapporo-shobo-maintenance","http://localhost:3000/?token=sapporo-shobo-maintenance","","http://www.s-sm.net/contact.html","artifacts/sales-copy/64-sapporo-shobo-maintenance.md","ready","2026-04-12T15:52:29+09:00","","","contact_candidates=1; audit_pass_pc_mobile=1;rescored_visual_2026-04-13=1","2026-04-13T02:35:00+09:00"
"65","rejected","興亜防災設備㈱","demo_ready","6","消防設備点検","北海道 札幌市","","","https://www.koa-bousai.com/","1","1","Recent updates exist, but the top still shows a coming-soon feel.","koa-bousai","http://localhost:3000/?token=koa-bousai","","","artifacts/sales-copy/65-koa-bousai.md","ready","2026-04-12T15:52:29+09:00","","","contact_candidates=1;selected_for_demo=1;audit_fail_1=access_tab_reworked; audit_blocked=chrome_devtools_profile_lock;audit_pass_pc_mobile=1;rescored_visual_2026-04-13=1","2026-04-13T02:35:00+09:00"
